"cell_type","gene","subset","r","p_value","n","p_BH_within_subset","p_BH_all30"
"Macrophage_Kupffer","Pparg","all_HFD",0.752631578947368,0.000304546119885439,19,0.00191665007785169,0.00574995023355507
"Macrophage_Kupffer","Cd36","all_HFD",0.736842105263158,0.000477297598336666,19,0.00191665007785169,0.00574995023355507
"Macrophage_Kupffer","Scd1","all_HFD",0.729824561403509,0.000574995023355507,19,0.00191665007785169,0.00574995023355507
"Macrophage_Kupffer","Plin2","all_HFD",0.649122807017544,0.00332845805180117,19,0.00832114512950292,0.021028466207863
"Macrophage_Kupffer","Scd1","axis1_HFD",0.854545454545454,0.00350474436797716,10,0.0350474436797716,0.021028466207863
"Macrophage_Kupffer","Pparg","axis1_HFD",0.793939393939394,0.0098441361663116,10,0.0398020732202323,0.049220680831558
"Macrophage_Kupffer","Plin2","axis1_HFD",0.76969696969697,0.0136717821032753,10,0.0398020732202323,0.0530694309603097
"Macrophage_Kupffer","Fasn","all_HFD",0.556140350877193,0.0148671453383803,19,0.0297342906767606,0.0530694309603097
"Macrophage_Kupffer","Cd36","axis1_HFD",0.757575757575757,0.0159208292880929,10,0.0398020732202323,0.0530694309603097
"S100A8hi_macrophage","Plin2","all_HFD",-0.514035087719298,0.0260222456909279,19,0.0433704094848798,0.0780667370727837
"Macrophage_Kupffer","Fasn","axis1_HFD",0.6,0.0731198750392827,10,0.146239750078565,0.199417841016226
"S100A8hi_macrophage","Pparg","all_HFD",-0.317543859649123,0.184970294199415,19,0.264243277427736,0.462425735498537
"S100A8hi_macrophage","Fasn","all_HFD",-0.3,0.211484163810622,19,0.264355204763278,0.488040378024512
"S100A8hi_macrophage","Pparg","axis1_HFD",0.406060606060606,0.247370787611931,10,0.412284646019885,0.530080259168423
"S100A8hi_macrophage","Pparg","axis2_HFD",-0.4,0.291192680776014,9,0.743540564373898,0.577984457671957
"S100A8hi_macrophage","Scd1","all_HFD",-0.233333333333333,0.334845965988391,19,0.372051073320434,0.577984457671957
"S100A8hi_macrophage","Cd36","axis1_HFD",0.333333333333333,0.348846243872153,10,0.498351776960219,0.577984457671957
"Macrophage_Kupffer","Scd1","axis2_HFD",0.35,0.358581349206349,9,0.743540564373898,0.577984457671957
"Macrophage_Kupffer","Cd36","axis2_HFD",0.333333333333333,0.385322971781305,9,0.743540564373898,0.577984457671957
"Macrophage_Kupffer","Pparg","axis2_HFD",0.333333333333333,0.385322971781305,9,0.743540564373898,0.577984457671957
"S100A8hi_macrophage","Fasn","axis2_HFD",0.3,0.436623677248677,9,0.743540564373898,0.623748110355253
"S100A8hi_macrophage","Cd36","axis2_HFD",0.266666666666667,0.493331128747795,9,0.743540564373898,0.670302164639917
"S100A8hi_macrophage","Scd1","axis1_HFD",0.236363636363636,0.513898326223936,10,0.64237290777992,0.670302164639917
"S100A8hi_macrophage","Scd1","axis2_HFD",-0.233333333333333,0.551708553791887,9,0.743540564373898,0.689635692239859
"Macrophage_Kupffer","Plin2","axis2_HFD",0.2,0.613403880070547,9,0.743540564373898,0.736084656084656
"S100A8hi_macrophage","Cd36","all_HFD",0.108771929824561,0.656953555867899,19,0.656953555867899,0.75802333369373
"Macrophage_Kupffer","Fasn","axis2_HFD",-0.15,0.708068783068783,9,0.743540564373898,0.769179894179895
"S100A8hi_macrophage","Fasn","axis1_HFD",0.127272727272727,0.732886836413125,10,0.814318707125695,0.769179894179895
"S100A8hi_macrophage","Plin2","axis2_HFD",0.133333333333333,0.743540564373898,9,0.743540564373898,0.769179894179895
"S100A8hi_macrophage","Plin2","axis1_HFD",0.0666666666666667,0.864753528804526,10,0.864753528804526,0.864753528804526
