"comparison","score","n_x","n_y","mean_x","mean_y","mean_diff","cohens_d","welch_t_p","wilcoxon_p","welch_p_BH","wilcoxon_p_BH"
"Macrophage_MoMF_LAM vs Kupffer_resident","MonocyteScore",1766,862,0.136368540570007,-0.496952568134197,0.633321108704204,0.934929063044568,2.82769929373116e-149,1.53352559107439e-95,7.54053144994977e-149,3.06705118214879e-95
"S100A8hi_macrophage vs Kupffer_resident","MonocyteScore",528,862,-0.277105852701281,-0.496952568134197,0.219846715432916,0.591503127969284,6.40883707117111e-27,5.91842586988582e-34,7.32438522419555e-27,7.8912344931811e-34
"S100A8hi_macrophage vs Macrophage_MoMF_LAM","MonocyteScore",528,1766,-0.277105852701281,0.136368540570007,-0.413474393271288,-0.586664769069994,1.13394477031755e-62,1.81431395863845e-22,1.81431163250808e-62,2.07350166701537e-22
"S100A8hi_macrophage vs Neutrophil","MonocyteScore",528,91,-0.277105852701281,0.579729426942519,-0.856835279643799,-2.40577874207241,5.90889567555347e-36,3.35665435908371e-40,7.87852756740463e-36,5.37064697453393e-40
"Macrophage_MoMF_LAM vs Kupffer_resident","ResidentScore",1766,862,-0.684485745392305,1.08539712330227,-1.76988286869458,-2.6943249909746,1.0380911458816e-245,1.98636148279224e-316,8.30472916705284e-245,1.58908918623379e-315
"S100A8hi_macrophage vs Kupffer_resident","ResidentScore",528,862,-0.408619362163176,1.08539712330227,-1.49401648546545,-1.70759067432401,1.9697539906766e-200,1.46391169580877e-126,7.87901596270641e-200,3.90376452215672e-126
"S100A8hi_macrophage vs Macrophage_MoMF_LAM","ResidentScore",528,1766,-0.408619362163176,-0.684485745392305,0.275866383229129,1.07209151929563,2.63028945280392e-75,3.70031895571015e-127,5.26057890560784e-75,1.48012758228406e-126
"S100A8hi_macrophage vs Neutrophil","ResidentScore",528,91,-0.408619362163176,-0.475573441567622,0.0669540794044463,0.254936885548464,0.000820781062855897,0.935503880478202,0.000820781062855897,0.935503880478202
