"comparison","score","n_x","n_y","mean_x","mean_y","mean_diff","cohens_d","welch_t_p","wilcoxon_p","welch_p_BH","wilcoxon_p_BH"
"S100A8hi_macrophage vs Kupffer_resident","Ap1Score",528,862,0.340931871484691,0.157834325808259,0.183097545676432,0.246729348015216,9.04424597886521e-07,3.32354365248752e-07,1.08530951746383e-06,4.98531547873128e-07
"S100A8hi_macrophage vs Macrophage_MoMF_LAM","Ap1Score",528,1766,0.340931871484691,0.329024062137228,0.0119078093474634,0.0199022404721702,0.667781710559121,0.74323038130589,0.667781710559121,0.74323038130589
"S100A8hi_macrophage vs Neutrophil","Ap1Score",528,91,0.340931871484691,0.0592371826389094,0.281694688845782,0.538828062440456,2.0339717025172e-08,8.89318125828712e-07,3.0509575537758e-08,1.06718175099445e-06
"S100A8hi_macrophage vs Kupffer_resident","CebpScore",528,862,0.780875578167363,0.10102300044002,0.679852577727343,1.4571741032187,2.42409676519567e-132,5.18115115319574e-109,1.4544580591174e-131,1.55434534595872e-108
"S100A8hi_macrophage vs Macrophage_MoMF_LAM","CebpScore",528,1766,0.780875578167363,0.241496478826993,0.53937909934037,1.46568279905601,1.74790107052906e-116,1.17576764955285e-131,5.24370321158717e-116,7.05460589731711e-131
"S100A8hi_macrophage vs Neutrophil","CebpScore",528,91,0.780875578167363,0.452271761381725,0.328603816785638,0.798230895352055,5.48920446064351e-10,1.15511161421832e-11,1.0978408921287e-09,2.31022322843664e-11
