"","TG","WT"
"0",802,1516
"1",811,1221
"2",417,1438
"3",656,895
"4",611,797
"5",654,569
"6",533,562
"7",517,410
"8",117,762
"9",294,481
"10",277,295
"11",240,303
"12",275,253
"13",247,280
"14",215,231
"15",173,255
"16",195,215
"17",157,228
"18",154,136
"19",241,35
"20",127,37
"21",43,80
"22",17,77
"23",17,74
"24",33,28
"25",17,30
"26",20,26
"27",21,25
