"own_group","pct_neighbors_S100A8hi_macrophage","pct_neighbors_Kupffer_resident","pct_neighbors_Macrophage_MoMF_LAM","pct_neighbors_Neutrophil","n_cells"
"Kupffer_resident",0.00645784996133024,0.920185614849188,0.0732791956689869,7.73395204949729e-05,862
"Macrophage_MoMF_LAM",0.00317100792751982,0.0263684409211023,0.969913174782937,0.000547376368440921,1766
"Neutrophil",0.0681318681318681,0.019047619047619,0.0296703296703297,0.883150183150183,91
"S100A8hi_macrophage",0.96155303030303,0.0196338383838384,0.015530303030303,0.00328282828282828,528
