"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,6.71972036041118,0.457,0.005,0,"19","Pdcd1"
0,5.71459302782318,0.409,0.011,0,"19","A430093F15Rik"
0,5.5709572234854,0.837,0.03,0,"19","Ctla4"
0,5.5448969162908,0.833,0.033,0,"19","Cd8a"
1.48857765207446e-262,5.64869968526795,0.78,0.079,2.84824447947927e-258,"20","Mug1"
1.87946370362252e-151,5.55211953430822,0.378,0.028,3.59616585051133e-147,"20","Itih1"
2.39596709270099e-186,5.55115453876284,0.957,0.206,4.58444343517407e-182,"20","Apob"
2.92820649873204e-240,5.39539780476559,0.884,0.119,5.60283031467389e-236,"20","Pzp"
9.45205638621216e-191,5.31809744652702,0.707,0.089,1.80855646893784e-186,"20","F2"
0,7.57034132733227,0.301,0.002,0,"21","Bmp4"
0,7.10515934515547,0.285,0.002,0,"21","Wnt9b"
0,6.84999445223147,0.764,0.023,0,"21","Rspo3"
0,6.31308490165046,0.439,0.008,0,"21","Fbln2"
3.29815009523734e-276,5.40272156430019,0.415,0.013,6.31068039222713e-272,"21","Edn1"
8.60697844805328e-176,6.21073807587734,0.287,0.008,1.64685925625051e-171,"22","Pbk"
5.8316097257756e-247,5.91800349683036,0.383,0.01,1.1158202049299e-242,"22","Cdkn3"
3.98987271570873e-138,5.85093295381719,0.33,0.014,7.63422245423708e-134,"22","Cdc20"
3.84118163282642e-102,5.79619196413225,0.255,0.011,7.34971693625007e-98,"22","Hmmr"
6.40796421671362e-118,5.60961796814009,0.266,0.01,1.22609987322598e-113,"22","Ccnb1"
0,10.1877612198401,0.308,0,0,"23","Gpr27"
0,9.71976410005744,0.725,0.01,0,"23","Ltf"
0,9.35506667669647,0.945,0.02,0,"23","Ngp"
0,9.10028611624326,0.879,0.003,0,"23","Ly6g"
0,8.93794060919746,0.703,0.001,0,"23","Itgb2l"
0,8.83343398947687,0.344,0,0,"24","Gja5"
0,8.19171916159715,0.787,0.009,0,"24","Igfbp5"
0,7.64009136305431,0.311,0.001,0,"24","Pdlim3"
0,7.50955053212016,0.541,0.008,0,"24","Nrg1"
0,7.46299837641278,0.803,0.012,0,"24","Vwf"
1.15628633171614e-13,2.75242639631433,0.255,0.041,2.21243826710566e-09,"25","Rhbdd2"
5.66978660145799e-41,2.68981273247807,0.553,0.064,1.08485696832297e-36,"25","Siglecg"
3.9307364465915e-52,2.6220816496209,0.426,0.031,7.52107111690818e-48,"25","Vpreb3"
2.31765646065207e-22,2.59207306746129,0.298,0.034,4.43460387181168e-18,"25","Fcrl1"
1.67881893038893e-21,2.58859069738715,0.277,0.031,3.21225214140617e-17,"25","Ccdc9b"
0,9.86793086133553,0.435,0.001,0,"26","Col6a1"
0,9.77345443459647,0.435,0.001,0,"26","Ms4a4d"
0,9.71585677021015,0.261,0,0,"26","Afap1l2"
0,9.69838509930056,0.304,0,0,"26","Gpc6"
0,9.62946083433543,0.413,0.001,0,"26","Hand2os1"
0,16.4638225829478,0.804,0,0,"27","Fcer1a"
0,11.9590798528432,0.826,0,0,"27","Ms4a2"
0,11.6480042793139,0.978,0.001,0,"27","Cyp11a1"
0,11.3807486828263,0.652,0.001,0,"27","Cpa3"
0,10.9720425849005,0.87,0.001,0,"27","Cd200r3"
