"cell_type","MonocyteScore","ResidentScore"
"Macrophage_Kupffer",1.40046202843294,-0.328865254072629
"Macrophage_Kupffer",0.723663653418354,-0.149642567030175
"Macrophage_Kupffer",0.0499754153615384,-0.328493422218372
"Macrophage_Kupffer",-0.0289761658594175,-0.29818806758
"Macrophage_Kupffer",2.13034110465022,-0.13342595477053
"Macrophage_Kupffer",-0.264274455214654,1.52361817869041
"Macrophage_Kupffer",0.133919830827005,-0.288101321121322
"Macrophage_Kupffer",1.22083373441838,-0.195386262540688
"S100A8hi_macrophage",0.0599795443600866,0.22750737819167
"Macrophage_Kupffer",1.78674455092176,-0.193310398844026
"Macrophage_Kupffer",0.919351938312575,-0.195733816553308
"Macrophage_Kupffer",-0.486322288821127,2.28783453237253
"Macrophage_Kupffer",0.198906190872325,-0.344402700812652
"Macrophage_Kupffer",1.24927599953247,-0.207500771206753
"Neutrophil",0.155647376258068,-0.179505085414402
"Macrophage_Kupffer",1.09723927929717,-0.302131639446956
"Macrophage_Kupffer",2.12137610135016,-0.301485775647224
"Macrophage_Kupffer",-0.302511344763605,0.892533742504159
"Macrophage_Kupffer",-0.0688028423481227,-0.267567252505486
"Macrophage_Kupffer",-0.266266691572472,1.68308347896934
"Macrophage_Kupffer",-0.551551137443143,2.86196893177783
"Macrophage_Kupffer",-0.127502385351109,2.94240820923333
"Macrophage_Kupffer",-0.406065896205295,0.90377322407145
"Macrophage_Kupffer",-0.325035429498449,-0.172113213532427
"Macrophage_Kupffer",2.34864274143995,-0.342743131731016
"Macrophage_Kupffer",1.12204183648712,-0.310613091613741
"Macrophage_Kupffer",0.749398885566852,-0.0755212000151725
"Macrophage_Kupffer",0.721644062749796,-0.334132980119191
"Macrophage_Kupffer",-0.523442697676571,0.327522742993474
"Macrophage_Kupffer",0.950303893143513,-0.316083281927613
"Macrophage_Kupffer",0.924287433181207,-0.1976159735447
"Macrophage_Kupffer",-0.224987160060718,1.10567609694845
"Macrophage_Kupffer",1.91907475967255,-0.206357835675365
"S100A8hi_macrophage",0.445333317211731,-0.144725451217303
"Macrophage_Kupffer",1.0379276144659,-0.135916676889188
"Macrophage_Kupffer",-0.649392821728005,3.0847412984957
"Macrophage_Kupffer",-0.187374659037491,-0.353045743001399
"Macrophage_Kupffer",-0.434062794543786,-0.182802143271577
"Macrophage_Kupffer",-0.258078176503195,1.4319216135944
"Macrophage_Kupffer",0.0850278267032712,-0.133725598540607
"Macrophage_Kupffer",0.816083898827604,-0.251902489036312
"Macrophage_Kupffer",0.653224299788568,-0.34059082638286
"Macrophage_Kupffer",0.778749583608731,-0.378604207342131
"Macrophage_Kupffer",1.68677773484234,-0.314982143127948
"Macrophage_Kupffer",-0.515606999603321,2.51983242669533
"Macrophage_Kupffer",1.14958851177752,-0.315851880650104
"Neutrophil",0.156979218305351,0.313565675392378
"Macrophage_Kupffer",2.05847585682048,-0.355532224476644
"Macrophage_Kupffer",0.0552276399167803,-0.233039071952836
"Macrophage_Kupffer",-0.387849658494608,-0.289057007568556
"Macrophage_Kupffer",0.481335761367318,-0.306103122661172
"Macrophage_Kupffer",0.386207364304923,-0.24400374710627
"S100A8hi_macrophage",0.537094945378489,-0.178665971768226
"Neutrophil",0.589368808134526,-0.213656573651827
"Macrophage_Kupffer",0.588646696746325,-0.165755517195453
"Macrophage_Kupffer",-0.531761097787697,-0.158387500627089
"Macrophage_Kupffer",1.3522538247248,-0.332381774909614
"Macrophage_Kupffer",-0.531924577741212,-0.306410093107482
"Macrophage_Kupffer",1.80002758489757,-0.335068598964052
"Macrophage_Kupffer",0.615468637459462,-0.354058944097254
