"B_cell","Cholangiocyte","Dendritic_cell","Endothelial","Hepatocyte","Macrophage_Kupffer","Mast_cell","Neutrophil","NK_cell","S100A8hi_macrophage","Stellate_Fibroblast","T_cell","sample","axis","genotype","diet","group"
-0.188729095201072,2.00081892156036,0.749611928599051,2.18618543250914,0.68195233292608,1.4418560589787,0.80658893298192,2.12646117043362,2.4729505550682,2.91460067790943,2.82935967195593,0.692556281350291,"HFD3m_WT1","adipocyte_death","WT","HFD","adipocyte_death_WT_HFD"
0.878771704149688,1.44853833282616,1.54261322801727,1.43091479321323,0.474451178077316,1.60801609171773,1.62234754251678,2.00259870008063,1.29597914869745,0.933952136923103,1.56803738129496,1.24889363438103,"HFD3m_WT2","adipocyte_death","WT","HFD","adipocyte_death_WT_HFD"
1.30627971865814,-0.874617098960248,0.838458590501666,1.57827257888431,1.34840616694886,3.03800784113713,-1.34219497454691,1.5562634793638,1.62974353458161,3.93447692597432,2.79868965767518,1.86970027902533,"HFD3m_WT3","adipocyte_death","WT","HFD","adipocyte_death_WT_HFD"
0.487669418328564,1.39927702725313,1.12150687969026,3.42932552501283,-0.0495071825013915,2.30246046715547,1.0795852440147,2.14497041729764,2.42400708832915,2.14537753405075,3.32651476224776,2.75223773865361,"HFD3m_WT4","adipocyte_death","WT","HFD","adipocyte_death_WT_HFD"
2.33251318023625,1.9466713271323,1.78250584847635,3.01088212768149,-1.08235841833432,3.94476097632439,2.19884694334726,0.786357369197129,2.12676145566525,0.37381461165372,3.12698616595943,1.72877616587268,"HFD3m_WT5","adipocyte_death","WT","HFD","adipocyte_death_WT_HFD"
3.82085691877575,-0.623155637377898,0.0317176236458748,1.5602928086147,2.83628217676609,-0.42981902812088,-0.194722354596395,2.19294234592908,0.681242037572132,1.82605626936738,1.18032767124561,-0.00249786561152529,"HFD3m_TG1","adipocyte_death","Bcl2TG","HFD","adipocyte_death_Bcl2TG_HFD"
-0.197798109394639,-0.531365141096284,-0.27658839606536,1.82103101790391,2.86809113644099,-1.10130616676489,-1.03971286943003,3.76523949014509,0.375169903737817,1.61419807946939,0.871066822696206,0.650337525509889,"HFD3m_TG2","adipocyte_death","Bcl2TG","HFD","adipocyte_death_Bcl2TG_HFD"
2.50331668065785,0.837417326190488,0.261079637046865,1.55558151908223,1.85923037903831,1.17852623765156,-0.860942357919659,2.64691624358359,1.04616014742467,1.38795068980058,0.960775291637825,0.375073745894445,"HFD3m_TG3","adipocyte_death","Bcl2TG","HFD","adipocyte_death_Bcl2TG_HFD"
0.198909692301777,-3.95212148875162,-0.0851500230086633,0.617675350494048,1.59713769653153,-1.58753168848959,-0.922176529307965,1.86940611164806,0.901577810467871,0.507284727651519,0.308398379494048,0.163237260718378,"HFD3m_TG5","adipocyte_death","Bcl2TG","HFD","adipocyte_death_Bcl2TG_HFD"
0.718789207430956,-4.64927796267924,-0.29281700952547,-1.33031786641568,2.47391632188856,-1.80316341576288,-0.644496255267014,0.121626135526716,-0.452681558761074,-1.55699140650763,-1.03112106875034,0.417965364785742,"HFD3m_TG6","adipocyte_death","Bcl2TG","HFD","adipocyte_death_Bcl2TG_HFD"
-1.58777954397532,0.839883477756584,-1.86689697278309,1.01354025596403,2.6732008314716,-1.74727151746201,-0.541368556679609,3.83087101329926,0.596574447811303,2.30831384156507,0.233994886511909,-1.10718199349973,"Chow3m_WT1","adipocyte_death","WT","Chow","adipocyte_death_WT_Chow"
-1.6122503321427,0.845079963276493,-2.09938864772297,-0.303883607189218,0.220501037062443,-0.234657543862075,0.238196007016507,1.19265219852859,-1.1285829657072,1.21240297342538,-0.605186289126756,-2.61340819971263,"Chow3m_WT2","adipocyte_death","WT","Chow","adipocyte_death_WT_Chow"
-2.09002146010759,1.31150181612094,-2.19993981788459,1.14520582423485,1.38009905640139,-1.17748203811991,-0.425904480801875,3.31729400521239,-1.21410971704976,3.24824326059959,0.465281414918026,-0.893938973391539,"Chow3m_WT3","adipocyte_death","WT","Chow","adipocyte_death_WT_Chow"
-0.646560838622171,-1.00255423537,-2.28804635482642,0.757390197583402,1.84389096848067,-2.15497592988231,-1.82789938346741,2.98464406674481,0.208745950676015,2.27801158524132,-0.368677101995263,-1.99283407957879,"Chow3m_TG1","adipocyte_death","Bcl2TG","Chow","adipocyte_death_Bcl2TG_Chow"
-1.08707535302918,3.01865639471673,-2.31621125231162,0.943213000039491,1.74445460804623,-2.71501063119299,-1.16770061113078,2.68063730999991,-1.23738964569788,1.96399148447224,0.361474152488327,-0.71344673706429,"Chow3m_TG2","adipocyte_death","Bcl2TG","Chow","adipocyte_death_Bcl2TG_Chow"
-2.57675365628641,3.07254619784001,-2.33172087900038,1.74501381318111,2.86631440883091,-2.60272667021633,-2.98295487035402,3.14168648896216,0.246027298461048,2.81665464368658,0.671907330981598,-0.601404164830375,"Chow3m_TG3","adipocyte_death","Bcl2TG","Chow","adipocyte_death_Bcl2TG_Chow"
-0.391055075731522,-2.5586055452321,0.411200401201155,-2.17651212314178,-1.71968266678917,-0.436188495767016,-1.17038848370522,-2.0375570870667,-1.77616196860655,-3.07040411552785,-3.18552981292547,-1.38121198152386,"WT_Chow_1","macrophage_KO","WT","Chow","macrophage_KO_WT_Chow"
-2.33795398905265,-3.74150125850543,-1.5168161132362,-3.53151727780949,-2.74002669608819,-2.49521135801247,-3.71325191138744,-2.78609385739058,-2.55669547519876,-3.01119788066861,-5.30695489637605,-2.46562829598485,"WT_Chow_2","macrophage_KO","WT","Chow","macrophage_KO_WT_Chow"
-1.38588484113043,-0.729142491311216,0.0959990861040483,-1.94562806934077,-0.177100044652386,-1.77918346703603,-0.266089035620156,-2.28949622459043,-0.990108282216542,-1.93713833941634,-2.87334173893663,-0.429606138815138,"WT_Chow_4","macrophage_KO","WT","Chow","macrophage_KO_WT_Chow"
-0.643964307191609,-1.25353839335631,-1.01434390919873,-2.10773348298348,-0.248771365450636,-2.86837692556579,-1.20916838364987,-1.75181154833714,-1.61921357718982,-1.11291823010533,-3.66271597121037,0.325878393634995,"WT_Chow_5","macrophage_KO","WT","Chow","macrophage_KO_WT_Chow"
-3.18848715481267,-0.629491429043361,-2.74239219256988,-2.38384674888889,-0.260566937658708,-3.52548568147,-1.23027486434653,-1.73148963118608,-2.87505874079993,-1.31585178263019,-2.81599893820974,-0.258398042682304,"MKO_Chow_1","macrophage_KO","MKO","Chow","macrophage_KO_MKO_Chow"
-3.51747395042601,-2.22675575715303,-1.17081780434933,-3.16446570669871,-1.01412696576625,-3.17269861222199,-0.669599651267214,-1.29032783357452,-2.92604078175035,-1.3928474284854,-5.4917821247024,-0.477361296392333,"MKO_Chow_2","macrophage_KO","MKO","Chow","macrophage_KO_MKO_Chow"
-1.10542656203432,-3.15934009924778,-0.553198169276673,-2.4881569020608,-0.195444241602905,-1.78292428116533,0.384771330578752,-1.49465999798236,-1.09572217248295,-2.38084319057463,-3.22142785173654,-1.90248591062373,"MKO_Chow_3","macrophage_KO","MKO","Chow","macrophage_KO_MKO_Chow"
-1.71844265371836,-1.76243875453209,-1.28961154314639,-1.46577725578516,-0.545485937134045,-0.864531321601547,0.0942210582763113,-2.69668139385032,-1.13484001979544,-2.40310909956706,-4.15307875928139,0.919618956537194,"MKO_Chow_4","macrophage_KO","MKO","Chow","macrophage_KO_MKO_Chow"
1.58877276909745,-3.20165307559672,-1.09388441537803,-2.53000586500335,-1.04534452006127,-1.50212593653556,-0.666530660913168,-3.67278454957625,-1.11279416217135,-2.7411292120321,-2.80956439124454,0.225395087213475,"MKO_Chow_5","macrophage_KO","MKO","Chow","macrophage_KO_MKO_Chow"
2.27519997810731,3.82060145641921,2.59696355506918,0.724510602219193,-2.24508010921075,3.85779563174399,0.954796965425818,-1.17975095095551,1.19278137987562,-0.817658734227664,2.23973028938163,2.3539178408212,"WT_HFD_1","macrophage_KO","WT","HFD","macrophage_KO_WT_HFD"
2.314551887803,0.110705975690117,0.436321867194121,-0.340249272340789,-1.24025110077733,0.580902321430812,0.389111538330815,-0.862736186869824,-0.314891822855808,-1.45095616149848,1.31058235402988,-1.28777507128765,"WT_HFD_2","macrophage_KO","WT","HFD","macrophage_KO_WT_HFD"
-0.30833167492447,0.856281551258742,2.06442530016529,-0.576959444873832,-1.65264483966487,1.44740106746545,0.784394627893749,-1.02818413405129,0.783338981804161,-0.539672939934634,0.605366159347443,0.445501067731852,"WT_HFD_3","macrophage_KO","WT","HFD","macrophage_KO_WT_HFD"
